"n_collect","credit_ratio","interest","initial_list_status","recover","coll_fee","out_prncp","total_cc","term","fees_rec","total_acc","employment","amount","monthly_payment","funded","status","v1","int_rec","reason","last_payment","pymnt_rec","quality","out_prncp_inv","violations","del","inc","prin_rec","credit_bal","ncc","req"
0,68.7,12.69,"a",0,0,30522.15,2124.32," 3 yrs",0,25,"< 1",32000,1073.44,32000,"checked",15.29,646.47,"debt",1073.44,2124.32,"q3",30522.15,0,1,115000,1477.85,17101,9,1
0,76.6,8.19,"b",0,0,10194,5536.59," 3 yrs",0,10,"< 1",14700,461.94,14700,"unchecked",10.5,1030.59,"debt",461.94,5536.59,"q1",10194,0,0,55000,4506,10722,6,0
0,28.2,18.25,"a",0,0,10244.24,4174.43," 3 yrs",0,11,"5",12825,465.27,12825,"partial",13.63,1593.67,"debt",930.54,4174.43,"q5",10244.24,0,0,38000,2580.76,3013,6,0
0,87.6,15.31,"a",0,0,3780.75,5849.34," 3 yrs",0,14,"10+",8000,278.54,8000,"partial",17.67,1630.09,"debt",278.54,5849.34,"q3",3780.75,3,0,40000,4219.25,10857,9,1
0,58,18.25,"a",0,0,11721.86,2371.97," 3 yrs",0,23,"2",13150,477.06,13150,"checked",25.95,943.83,"debt",477.06,2344.91,"q5",11588.15,2,3,80000,1428.14,16289,10,1
0,88.9,12.12,"a",0,0,0,18503.4334456," 3 yrs",0,18,"4",15450,514.05,15450,"unchecked",12.39,3053.43,"debt",521.18,18503.43,"q2",0,0,0,40000,15450,17964,8,0
0,42.9,14.31,"a",0,0,3211.56,2077.08," 3 yrs",0,10,"NA",4675,160.49,4675,"checked",13.92,613.64,"other",160.49,2077.08,"q3",3211.56,0,0,60240,1463.44,3435,7,0
0,52.1,25.78,"b",0,0,8272.31,1032.45," 3 yrs",0,21,"4",8775,352.53,8775,"checked",35.77,529.76,"debt",352.53,1032.45,"q6",8272.31,0,0,25000,502.69,5625,13,0
0,87.6,21,"a",0,0,0,5784.38," 5 yrs",0,25,"10+",25000,676.34,25000,"partial",19.63,4028.61,"debt",250,5784.38,"q5",0,0,0,120000,1755.77,10427,9,0
0,76.8,12.99,"a",0,0,1610.15,5092.94," 3 yrs",0,31,"2",5600,188.66,5600,"checked",21.39,1103.09,"transport",188.66,5092.94,"q2",1610.15,0,0,45000,3989.85,4759,18,2
0,29.2,13.98,"b",0,0,0,1046.61," 5 yrs",0,38,"8",15000,348.87,15000,"checked",24.22,518.14,"cc",348.87,1046.61,"q3",0,0,0,65000,528.47,28409,14,2
0,47.6,9.67,"b",0,0,7623.45,12716.66," 3 yrs",0,36,"7",18000,578.03,18000,"partial",12.05,2340.11,"debt",578.03,12716.66,"q2",7623.45,0,1,105000,10376.55,22359,10,0
0,30.8,7.26,"b",0,0,3698.82,370.36," 3 yrs",0,24,"2",4000,123.99,4000,"unchecked",11.49,69.18,"boat",123.99,370.36,"q1",3698.82,0,0,75000,301.18,5452,10,0
0,68.2,9.17,"b",0,0,18534.62,1892.36," 3 yrs",0,8,"4",20000,637.58,20000,"unchecked",10.8,426.98,"debt",637.58,1892.36,"q2",18534.62,0,0,1e+05,1465.38,12613,7,1
0,99.9,12.29,"b",0,0,16166.89,5220.4," 3 yrs",0,29,"NA",20000,667.06,20000,"checked",25.81,1387.29,"debt",667.06,5220.4,"q3",16166.89,0,0,71126.16,3833.11,37656,14,1
0,65.8,9.67,"a",0,0,0,13002.4242399," 3 yrs",0,16,"9",12000,385.35,12000,"partial",20.29,1002.42,"cc",8764.61,13002.42,"q2",0,0,0,75000,12000,102488,7,1
0,39.5,15.8,"a",0,0,13255.97,20632.05," 5 yrs",0,26,"7",25000,605.3,25000,"checked",22.62,8888.02,"debt",605.3,20632.05,"q3",13255.97,0,0,80000,11744.03,28145,13,2
0,51.6,8.19,"b",0,0,10402.01,5642.79," 3 yrs",0,42,"2",15000,471.37,15000,"unchecked",11.38,1044.8,"cc",471.37,5642.79,"q1",10402.01,0,0,1e+05,4597.99,15783,17,0
0,82.9,7.89,"b",0,0,33264.56,2159.32," 3 yrs",0,28,"2",35000,1095,35000,"checked",11.98,423.88,"cc",1095,2159.32,"q1",33264.56,0,0,260000,1735.44,106302,12,0
0,52.6,7.9,"a",0,0,0,16893.3216319," 3 yrs",0,14,"1",15000,469.36,15000,"partial",24.51,1893.32,"debt",941.98,16893.32,"q1",0,0,0,35000,15000,11352,8,1
0,56.4,16.55,"a",0,0,15588.77,5381.92," 3 yrs",0,35,"10+",19050,674.93,19050,"checked",24.9,1920.69,"cc",674.93,5381.92,"q4",15588.77,0,0,43320,3461.23,11901,15,0
0,50,19.24,"b",0,0,11613.61,4149.02," 5 yrs",0,18,"5",13375,348.73,13375,"partial",11.44,2387.63,"debt",348.73,4149.02,"q5",11613.61,0,0,45000,1761.39,3497,7,3
0,38.6,7.26,"a",0,0,4496.49,615.93," 3 yrs",0,24,"10+",5000,154.99,5000,"unchecked",9.42,112.42,"debt",154.99,615.93,"q1",4496.49,0,0,82000,503.51,77009,15,1
0,48,15.41,"b",0,0,11074.96,259.28," 5 yrs",0,16,"10+",11200,268.87,11200,"checked",22.47,134.24,"debt",268.87,259.28,"q4",11074.96,0,0,36000,125.04,4031,10,1
0,32.2,12.59,"a",0,0,8400,0," 3 yrs",0,62,"10+",8400,281.38,8400,"partial",17.18,0,"debt",0,0,"q3",8400,0,2,60000,0,1930,20,1
0,22.7,18.2,"b",0,0,21275,0," 5 yrs",0,46,"3",21275,542.57,21275,"partial",13.3,0,"moving",0,0,"q5",21275,0,1,70000,0,10983,20,1
0,19.2,6.49,"b",0,0,5288.51,3179.87," 3 yrs",0,19,"NA",8000,245.16,8000,"checked",21.69,468.38,"debt",245.16,3179.87,"q1",5288.51,0,0,35800,2711.49,10372,8,0
0,67.7,7.89,"b",0,0,25526.5,8021.12," 3 yrs",0,26,"< 1",32000,1001.15,32000,"checked",27.38,1547.62,"debt",1001.15,8021.12,"q1",25526.5,0,0,80000,6473.5,28490,8,1
0,48.6,16.99,"a",0,0,10811.77,9790.96," 5 yrs",0,25,"2",16000,397.56,16000,"checked",18.25,4602.73,"renovation",397.56,9760.36,"q4",10777.99,0,0,50000,5188.23,12540,15,2
0,97.8,25.57,"a",0,0,16261.86,14714.25," 5 yrs",0,17,"10+",21550,639.75,21550,"checked",15.09,9426.11,"debt",639.75,14714.25,"q6",16261.86,0,0,63500,5288.14,27966,7,0
0,61.8,12.29,"b",0,0,27368.83,4661.21," 5 yrs",0,27,"10+",30000,671.74,30000,"checked",28.53,2030.04,"debt",671.74,4661.21,"q3",27368.83,0,0,83634,2631.17,24167,12,0
0,69.7,14.16,"b",0,0,10898.1,7355.67," 5 yrs",0,21,"< 1",15000,350.27,15000,"partial",28.53,3253.77,"debt",350.27,7355.67,"q3",10898.1,0,0,45000,4101.9,21051,11,0
0,73.3,16.49,"a",0,0,24290.85,16042.61," 3 yrs",0,35,"10+",35000,1238.98,35000,"checked",11.3,5333.46,"debt",1238.98,16042.61,"q4",24290.85,0,0,135000,10709.15,37545,14,0
0,65,7.89,"a",0,0,0,0," 3 yrs",0,30,"9",12000,375.43,12000,"partial",30.28,0,"cc",0,0,"q1",0,1,0,137000,0,92698,20,0
0,86.5,11.14,"a",0,0,12046.67,17793.39," 5 yrs",0,32,"10+",24000,523.5,24000,"checked",20.17,5840.06,"debt",523.5,17793.39,"q2",12046.67,0,2,120000,11953.33,178886,11,0
0,11.5,9.17,"b",0,0,3411.52,2381.48," 3 yrs",15,20,"10+",5300,168.96,5300,"unchecked",7.83,478,"cc",170,2381.48,"q2",3411.52,0,1,120000,1888.48,6139,5,1
0,32.2,13.11,"a",0,0,15338.58,20436.18," 5 yrs",0,28,"10+",28000,638.67,28000,"checked",19.97,7774.76,"debt",638.67,20399.69,"q2",15311.19,0,0,70000,12661.42,14002,13,0
0,78.2,20.2,"a",0,0,0,29504.12," 5 yrs",0,21,"9",24125,641.86,24125,"partial",18.19,5379.12,"debt",21159.94,29442.97,"q5",0,0,0,75000,24125,25791,14,0
0,80.6,19.19,"a",0,0,27784.7,5405.55," 5 yrs",0,40,"3",30000,781.36,30000,"checked",27.28,3190.25,"debt",781.36,5405.55,"q5",27784.7,1,0,154000,2215.3,31675,14,0
0,40.7,11.14,"a",0,0,1148.8,7322.02," 3 yrs",0,23,"6",7200,236.2,7200,"unchecked",7.33,1270.82,"cc",236.2,7322.02,"q2",1148.8,1,0,45000,6051.2,6518,10,2
0,24.8,5.32,"b",0,0,11071.36,1098.32," 3 yrs",0,22,"10+",12000,361.38,12000,"unchecked",21.65,169.68,"debt",361.38,1098.32,"q1",11071.36,4,2,75000,928.64,8644,16,0
0,93.3,10.64,"a",0,0,3171.88,13597.35," 3 yrs",0,27,"2",14400,468.99,14400,"checked",25.29,2369.23,"debt",468.99,13597.35,"q2",3171.88,0,0,46000,11228.12,19318,10,0
0,31.4,11.53,"b",0,0,0,10678.67," 5 yrs",0,24,"2",10000,220.08,10000,"partial",12.08,678.67,"debt",9364.6,10678.67,"q2",0,1,0,75000,10000,5462,10,0
0,47.7,10.99,"b",0,0,5571.72,585.57," 3 yrs",0,57,"9",6000,196.41,6000,"unchecked",10.22,157.29,"debt",196.41,585.57,"q2",5571.72,2,0,85000,428.28,12583,44,2
0,43.1,15.41,"b",0,0,23460.69,1009.82," 5 yrs",0,33,"10+",24000,576.14,24000,"partial",14.12,470.51,"cc",454.23,1009.82,"q4",23460.69,0,0,60000,539.31,20838,16,1
0,52,9.99,"a",0,0,7514.5,3220.75," 3 yrs",0,12,"2",10000,322.63,10000,"unchecked",6.08,735.25,"debt",322.63,3220.75,"q2",7514.5,0,0,85000,2485.5,12392,10,1
0,95.9,20.49,"a",0,0,716.35,4667.08," 3 yrs",0,9,"10+",4025,150.6,4025,"unchecked",22,1358.43,"other",150.6,4667.08,"q5",716.35,1,0,30000,3308.65,4410,5,0
0,71.5,14.99,"b",0,0,791.67,988," 3 yrs",0,20,"3",1500,52,1500,"unchecked",25.01,279.67,"cc",52,988,"q3",791.67,0,0,50000,708.33,11727,10,1
0,72.3,20.2,"a",0,0,4594.31,5947.76," 3 yrs",0,12,"< 1",8400,313.04,8400,"partial",10.68,2142.07,"other",313.04,5947.76,"q5",4594.31,0,1,110000,3805.69,2975,5,3
0,69,10.99,"b",0,0,0,13675.7," 3 yrs",0,37,"10+",12000,392.81,12000,"unchecked",16.67,1675.7,"debt",6605.12,13675.7,"q2",0,0,1,1e+05,12000,36457,12,0
0,55.9,11.67,"b",0,0,3609.65,4396.6," 3 yrs",0,15,"10+",7000,231.4,7000,"unchecked",19.22,1006.25,"debt",231.4,4396.6,"q2",3609.65,0,0,52000,3390.35,8049,11,0
0,33.7,13.11,"a",0,0,0,4815.17875381," 3 yrs",0,18,"1",4000,134.99,4000,"partial",19.44,815.18,"debt",1175.73,4755,"q2",0,0,0,40800,4000,6127,11,1
0,70.8,19.52,"a",0,0,5305.32,5006.4," 3 yrs",0,16,"2",8475,312.9,8475,"checked",24.34,1836.72,"debt",312.9,5006.4,"q5",5305.32,1,0,25000,3169.68,5667,6,0
0,84.1,14.65,"b",0,0,7644.83,3406.72," 3 yrs",0,10,"6",10000,344.95,10000,"partial",16.9,1051.55,"debt",344.95,3406.72,"q3",7644.83,0,0,37000,2355.17,4795,6,1
0,92,12.35,"a",0,0,4286.07,13539.35," 3 yrs",0,12,"8",15000,500.73,15000,"partial",15.04,2825.42,"debt",500.73,13539.35,"q2",4286.07,0,0,45000,10713.93,15921,7,0
0,24.4,17.14,"a",0,0,0,18152.6," 3 yrs",0,34,"1",15000,535.84,15000,"partial",7.03,3152.6,"renovation",180.8,18152.6,"q5",0,0,0,79200,15000,1391,4,1
0,82.1,18.25,"b",0,0,10553.64,6609.15," 5 yrs",0,20,"10+",13625,347.85,13625,"partial",22.84,3537.79,"debt",347.85,6609.15,"q4",10553.64,0,0,38000,3071.36,15019,8,2
0,39.8,8.19,"a",0,0,22396.74,15366.05," 3 yrs",0,29,"4",35000,1099.85,35000,"checked",13.01,2762.79,"debt",1099.85,15366.05,"q1",22396.74,0,0,140000,12603.26,34416,13,0
0,88.7,16.29,"b",0,0,0,19772.4," 3 yrs",0,18,"1",19175,676.89,19175,"checked",35.73,597.4,"debt",19072.4,19772.4,"q4",0,0,0,75000,19175,19948,8,1
0,70.3,8.18,"b",0,0,8639.37,4141.99," 3 yrs",0,24,"1",12000,377.04,12000,"checked",18.15,781.36,"debt",377.04,4141.99,"q2",8639.37,0,1,95000,3360.63,30982,12,1
0,39.3,13.11,"a",0,0,0,12561.791032," 3 yrs",0,50,"6",10400,350.97,10400,"checked",27.34,2161.79,"home",2394.32,12531.6,"q2",0,0,0,65000,10400,23184,17,4
0,53,6.89,"b",0,0,9856.14,2580.32," 3 yrs",0,30,"2",12000,369.93,12000,"checked",15.65,436.46,"debt",369.93,2580.32,"q1",9856.14,0,0,72000,2143.86,54712,14,0
0,51.3,11.86,"a",17.82,6.81,0,6793.56," 5 yrs",0,35,"7",25000,377.51,17025,"checked",3.09,2687.31,"debt",377.51,6083.3,"q2",0,0,0,56000,4088.43,21666,13,0
0,42.5,11.44,"a",0,0,0,3752.75," 3 yrs",0,40,"3",3500,115.32,3500,"unchecked",20.72,252.75,"other",2949.96,3752.75,"q2",0,1,0,53000,3500,10847,17,0
0,67.7,12.35,"b",0,0,3819.22,16481.57," 3 yrs",0,36,"1",17025,568.33,17025,"unchecked",14.04,3275.79,"debt",568.33,16481.57,"q2",3819.22,0,0,90000,13205.78,16785,21,0
0,28.3,17.76,"a",0,0,14411.26,13262.27," 5 yrs",0,37,"4",21000,530.53,21000,"checked",6.87,6673.53,"transport",530.53,13246.48,"q4",14394.1,2,0,225000,6588.74,3251,10,3
2,58,16.55,"a",0,0,2454.92,854.3," 3 yrs",0,28,"NA",3000,106.29,3000,"checked",22.14,309.22,"boat",106.29,854.3,"q4",2454.92,0,0,50800,545.08,6785,13,1
0,91.9,14.33,"b",0,0,0,6986.21509284," 3 yrs",0,16,"7",6000,206.03,6000,"unchecked",24.87,986.22,"debt",3689.74,6986.22,"q3",0,0,0,33000,6000,12595,7,0
0,17.4,11.53,"b",0,0,9051.13,1313.23," 3 yrs",0,18,"7",10000,329.91,10000,"unchecked",4.74,364.36,"cc",329.91,1313.23,"q2",9051.13,0,1,35918,948.87,3566,11,0
0,64.3,12.12,"a",0,0,1763.76,19759.6," 3 yrs",0,9,"8",18000,598.89,18000,"checked",8.48,3523.36,"cc",598.89,19759.6,"q2",1763.76,1,0,48000,16236.24,9902,5,0
0,51,13.99,"b",0,0,5574.41,1322.59," 3 yrs",0,18,"2",6475,221.27,6475,"unchecked",14.25,422,"debt",221.27,1322.59,"q3",5574.41,1,0,33860,900.59,2382,5,2
0,46,10.99,"b",0,0,7184.22,1639.56," 3 yrs",0,34,"9",8400,274.97,8400,"unchecked",17.02,423.78,"cc",274.97,1639.56,"q2",7184.22,1,0,60000,1215.78,5052,10,4
0,17.7,16.55,"b",0,0,23477.06,1137.23," 5 yrs",0,24,"10+",24000,590.68,24000,"unchecked",13.82,614.29,"renovation",590.68,1137.23,"q4",23477.06,0,0,122000,522.94,1402,19,0
0,24.6,12.29,"b",0,0,19158.17,3291.18," 5 yrs",0,27,"2",21000,470.22,21000,"partial",22.43,1449.35,"cc",470.22,3291.18,"q3",19158.17,0,0,125000,1841.83,20186,20,0
0,93.7,25.8,"b",0,0,10887.85,8171.4," 5 yrs",0,11,"10+",13700,408.57,13700,"partial",13.43,5359.25,"debt",408.57,8171.4,"q7",10887.85,0,0,95000,2812.15,4687,8,2
0,63.8,12.49,"a",0,0,2158.75,2943.6," 3 yrs",0,23,"1",4400,147.18,4400,"unchecked",9.85,702.35,"debt",147.18,2910.15,"q2",2134.21,0,0,29500,2241.25,2937,4,0
0,27.3,7.9,"a",0,0,0,12444.67," 3 yrs",0,33,"2",12000,375.49,12000,"partial",11.25,444.67,"cc",10568.82,12444.67,"q1",0,0,0,83000,12000,19058,8,4
0,25.4,6.89,"b",0,0,4874.57,152.23," 3 yrs",0,28,"10+",5000,154.14,5000,"checked",7.14,26.8,"cc",154.14,152.23,"q1",4874.57,0,0,20000,125.43,5716,7,0
0,47.3,7.91,"b",0,0,5000,0," 3 yrs",0,14,"7",5000,156.48,5000,"partial",11.78,0,"cc",0,0,"q1",5000,0,0,38000,0,5348,8,1
0,57.9,19.05,"a",2683.41,26.7061000006,0,8762.08," 5 yrs",0,23,"10+",21325,553.77,21325,"checked",29.19,3519.26,"cc",553.77,8762.08,"q4",0,0,0,55000,2559.41,21993,14,2
0,65.1,18.2,"b",0,0,16626.36,411.45," 5 yrs",0,25,"10+",16800,428.44,16800,"checked",27.24,237.81,"moving",428.44,411.45,"q5",16626.36,0,0,128000,173.64,21666,17,1
0,12.9,18.25,"a",0,0,0,6243.97," 3 yrs",0,35,"1",5000,181.39,5000,"checked",9.93,1244.02,"business",2616.25,6243.97,"q4",0,1,0,33000,4999.95,4163,9,0
0,53.3,15.61,"a",0,0,12883.8,3141.47," 5 yrs",0,31,"1",14400,347.21,14400,"unchecked",34.25,1625.27,"renovation",347.21,3141.47,"q4",12883.8,0,1,65000,1516.2,8264,11,1
0,40.7,15.1,"a",1484.02,267.123600001,0,9743.55," 3 yrs",0,21,"7",14000,486.01,14000,"partial",20.31,2428.78,"debt",486.01,9743.55,"q3",0,0,1,42000,5830.75,10635,10,1
0,47.4,14.09,"a",0,0,0,14370.12," 3 yrs",0,19,"< 1",15000,513.33,15000,"unchecked",9.45,3269.81,"debt",513.33,14370.12,"q2",0,1,0,40000,11100.31,10099,11,0
0,32.1,7.12,"a",0,0,11634.4,9898.24," 3 yrs",0,38,"10+",20000,618.64,20000,"partial",22.16,1532.64,"debt",618.64,9898.24,"q1",11634.4,0,0,75000,8365.6,63367,14,0
0,67.8,13.66,"a",0,0,11745.72,5973.25," 3 yrs",0,19,"3",15950,542.51,15950,"checked",33.3,1768.97,"debt",542.51,5973.25,"q3",11745.72,0,0,40000,4204.28,18860,13,0
0,37.1,19.52,"a",0,0,7574.73,3129.76," 3 yrs",0,19,"10+",9450,348.89,9450,"unchecked",5.91,1254.49,"debt",348.89,3129.76,"q5",7574.73,0,0,46500,1875.27,4521,7,1
