"default","n_collect","credit_ratio","interest","initial_list_status","recover","coll_fee","out_prncp","total_cc","term","fees_rec","total_acc","employment","amount","monthly_payment","funded","status","v1","int_rec","reason","last_payment","pymnt_rec","quality","out_prncp_inv","violations","del","inc","prin_rec","credit_bal","ncc","req"
0,0,82.7,14.49,"a",0,0,11815.11,16347.25," 3 yrs",0,18,"10+",23725,816.53,23725,"partial",13.56,4437.36,"debt",816.53,16347.25,"q3",11815.11,1,0,112000,11909.89,18121,9,1
1,0,86.1,17.57,"a",0,0,8147.89,1274.25," 3 yrs",0,19,"NA",8925,320.74,8925,"checked",24.48,497.14,"debt",320.74,1231.42,"q4",7874.01,0,4,40000,777.11,4046,7,0
1,0,51.6,16.2,"a",2016.07,362.8926,0,10771.62," 5 yrs",0,23,"< 1",27575,673.51,27575,"partial",27.53,4505.91,"debt",673.51,10771.62,"q3",0,0,0,62000,4249.64,13827,10,0
1,0,52.3,20.9,"a",453.3,4.98,0,9522.7," 5 yrs",0,51,"4",24000,453.56,16800,"checked",22.93,5268.63,"debt",26.4,9522.7,"q7",0,0,0,136000,3800.77,9149,20,5
1,0,58.4,11.44,"b",0,0,14513.65,4733.04," 3 yrs",0,26,"10+",18000,593.06,18000,"partial",18.25,1246.69,"debt",593.06,4733.04,"q2",14513.65,0,0,150000,3486.35,22613,16,1
1,0,41.1,14.65,"b",0,0,18831.96,2344.42," 5 yrs",0,34,"7",20000,472.14,20000,"checked",34.28,1176.38,"debt",472.14,2344.42,"q3",18831.96,0,0,53000,1168.04,20582,21,3
1,0,99,14.72,"a",0,0,0,2067.25," 3 yrs",0,31,"NA",2400,82.87,2400,"unchecked",11.1,518.44,"renovation",82.87,2067.25,"q3",0,0,0,16656,1548.81,4057,3,1
1,0,22.4,8.67,"b",0,0,19274.19,4067.93," 5 yrs",0,35,"10+",22000,453.17,22000,"unchecked",17.16,1342.12,"debt",453.17,4067.93,"q2",19274.19,0,0,50000,2725.81,17844,24,0
0,0,47,11.99,"a",0,0,0,16455.97," 3 yrs",0,18,"1",15000,498.15,15000,"unchecked",19.78,1546.85,"cc",91.79,16455.97,"q2",0,0,1,48000,14909.12,9963,11,1
0,0,94.3,14.49,"a",0,0,15808.57,11477.22," 3 yrs",0,23,"10+",23900,822.55,23900,"checked",19.39,3385.79,"cc",822.55,11429.2,"q3",15742.42,0,0,57000,8091.43,26782,14,0
0,0,68.1,11.14,"a",0,0,1923.64,15746.11," 3 yrs",0,20,"NA",15000,492.08,15000,"checked",11.79,2669.75,"cc",492.08,15641.14,"q2",1910.81,0,0,45000,13076.36,6542,6,1
0,0,78.7,7.12,"a",0,0,0,16013.08," 3 yrs",0,23,"4",15000,463.98,15000,"partial",6.21,1013.08,"debt",10445.32,16013.08,"q1",0,0,0,128400,15000,15181,11,2
0,0,90.9,13.65,"a",0,0,9218.03,6603.08," 5 yrs",0,16,"1",13000,300.14,13000,"partial",15.03,2821.11,"cc",300.14,6603.08,"q3",9218.03,0,0,64774.68,3781.97,10366,7,0
1,0,88.2,21,"a",5414.94,971.917200003,0,19034.54," 5 yrs",0,24,"3",28000,757.5,28000,"checked",27.09,8022.85,"cc",757.5,19017.6,"q5",0,0,0,71944,5596.75,50558,11,1
0,0,65.3,14.33,"a",0,0,0,11840.6491726," 3 yrs",0,35,"< 1",10000,343.39,10000,"checked",12.77,1840.65,"business",5320.29,11840.65,"q3",0,0,1,62000,10000,17749,22,0
0,0,53.5,7.49,"b",0,0,14356.8,6834.12," 3 yrs",0,18,"10+",20000,622.04,20000,"checked",8.81,1190.92,"debt",633.98,6834.12,"q1",14356.8,0,1,112000,5643.2,19729,9,1
0,0,38.1,13.98,"b",0,0,16218.76,6938.57," 5 yrs",0,20,"10+",20000,465.16,20000,"checked",9.58,3157.33,"debt",465.16,6938.57,"q3",16218.76,0,0,67000,3781.24,21134,13,0
